"Deal ID","Deal token","Deal name",Impressions,CPM,"Spends $","Media cost $","CTR %","VCR %","Media margin %"
19933,loopme-19933,"AV_Video_Brandsafe_25thApril_LM",1691619,3.05,5159.43795,1270.9946275,6.9133179516191285,39.67063505434734,75.36563788890997
20064,loopme-20064,AV_Video_18MF_UP_May1,372283,3.07,1142.90881,306.06926477,9.58786729450445,52.37494056940554,73.22015001616796
19219,loopme-19219,"Publicis_Display15thmarch",2184804,0.45,983.1618,437.076926,0.0,0.0,55.54374407142344
19932,loopme-19932,"AV_Display_Brandsafe_25thApril_LM",186060,1.11,206.5266,33.5324232,0.0,0.0,83.7636298665644
20062,loopme-20062,AV_Display_18MF_UP_May1,145680,1.31,190.8408,80.156417,0.0,0.0,57.9982807659578
19899,loopme-19899,"G_IN_Display_Web_NEWS_Pages",142472,0.8999898927508564,128.22336,71.234025,0.0,0.0,44.445360814129344
19852,loopme-19852,"G_IN_Display_Web_NEWS_Pages",101738,0.9,91.5642,40.695244,0.0,0.0,55.55550750184024
19220,loopme-19220,"Publicis_Display15thmarch_2",12800,0.45,5.76,2.56,0.0,0.0,55.55555555555556
19139,loopme-19139,Display_March_Loopme,349,0.45,0.15705,0.06282,0.0,0.0,60.0
19706,loopme-19706,"Youth_Video_2534_AF_Brandsafe",1,3.05,0.00305,8.5E-4,1700.0,100.0,72.1311475409836
19703,loopme-19703,"Male_Video_35_AF_Brandsafe",0,,0.0,0.0,,,
19463,loopme-19463,ME_Video_34_M_Brandsafe,0,,0.0,0.0,,,
19458,loopme-19458,WO_Video_34_F_Brandsafe,0,,0.0,0.0,,,
19567,loopme-19567,"Mahindra_XUV_namereveal_April",0,,0.0,0.0,,,
